Hurbutt,Richard,,
Hurdman,John,,
Hutt,Henry,,
Hyde,Samson,,
Ingstonor,Thomas,,
Iremonger,William,,
Isabella of Castile,,,
Jacson,Thomas,,
James I,king of England (James Stuart,James VI,king of Scotland)
John,king of England,,
John of Gaunt,2nd duke of Lancaster,,
John of Gaunt of Tutbury,,,
Johnson,Thomas,,
Johnson,William,,
Jones,Elizabeth,,
Knight,John,,
Knollys,Lettice,countess of Essex and countess of Leicester,
Kynnersley,Anthony,,
Lambe,Edward,,
Lambe,William,,
Lande,Robert,,
Latner,William,,
Lee,Richard,,
Leeck,William,the elder,
Lees,John,,
Lent,Robert,,
Leveson,James,,
Leveson,Walter,,
Leyland,John,,
Leys,Robert,,
Lightwod,Vincent,,
Lightwode,Kenneth,,
Limesey,Robert de,bishop of Coventry,
Lincoln,William de,,
Londe,Humphrey,,
Lowe,Humphrey,,
Lowe,Jeremy,,
Lutterford,John,,
Machin,Thomas,,
Madde Richard,,,
Manners,Lady,wife of Sir Thomas,
Manners,Sir Thomas,,
Manners,Thomas,3rd earl of Rutland,
Marchall,Roger,,
Marshall,Richard,,
Marshe,Henry,,
Martin,Simon,,
Mary I,queen of England (Mary Tudor),,
Massey,John,,
May,Sir Humphrey,,
Meakin,Randle,,
Millar,William,,
Miller,Francis,,
Milner,William,,
Mohun,Joan,,
Moreton,Edward,,
Morres,Thomas,,
Morton,Edward,,
Morton,Robert de,,
Mosley,Sir Edward,,
Mosse,William,,
Mowbray,John de,1st earl of Nottingham,
Moye,William,,
Muglinson,Richard,,
Musby,Reu',,
Myddelton,William,,
Mylles,John,,
Mylner,Richard,,
Mynerse,Jane,,
Nazareth,Lady Paget,,
Newbolde,Richard,,
Newdigate,Francis,,
Newe,Richard,,
Nicken,John,the younger,
Nonant,Hugh de,bishop of Coventry,
Norfolk,Sir John de,,
North,John,,
Ogle,Cuthbert,7th Baron Ogle,
Oke,Sir William,,
Okes,Hugh,,
Oliver,James,,
Ored<...>,Francis,,
Osborne,Sir Robert,,
Overton,William,bishop of Lichfield and Coventry,
Paddy,Robert,,
Paget,Henry,2nd Baron Paget of Beaudesert,
Paget,Thomas,4th Baron Paget of Beaudesert,
Paget,William,1st Baron Paget of Beaudesert,
Paget,William,5th Baron Paget of Beaudesert,
Parke,Mr,,
Parker,William,5th Baron Monteagle,
Patteson,Randal,,
Pattrick,Thomas,,
Peynter,Robert,,
Phelips,William,,
Philippot,John,,
Pinckney,Mr Leonard,,
Piott,Henry,,
Poole,Robert,,
Poole,Thomas,,
Pope,Adam,,
Poto,Sir,,
Poulton,William,,
Preston,Francis,the elder,
Preston,John,,
Pursall,John,esquire,
Pursall,Ralph,,
Pursall,Richard,the elder,
Pursall,Richard,the younger,
Pursall,Thomas,,
Queen of Bohemia,,,
Reade,Richard,,
Renmer,John,,
Rice,Richard,,
Rice,Thomas,,
Richard II,king of England,,
Richards,J.,,
Robert II,king of Scotland,,
Robertes,William,,
Robin Hood,,,
Robinson,Francis,,
Rodes,Robert,,
Rodons,William,,
Rogers,John,,
Rycrofte,William,,
Salford,H.,,
Salte,George,,
Sandes,John,,
Sauche,James,,
Saunders,Thomas,,
Savage,Henry,,
Savage,John,,
Seymour,William,10th earl of Hertford,
Shackletoun,Thomas,,
Sharpe,Iohn,,
Sharwin,John,,
Sheale,Richard,,
Sheifeild,Edward,,
Shelton,Richard,,
Sherwin,Mrs,,
Sherwood,James,,
Shropshire,Humphrey,,
Shyptonn,John,,
Shyptonn,Nicholas,,
Simons,Margaret,,
Simons,William,,
Slack,Richard,,
Slater,Martin,,
Sleigtham,William,,
Smyth,Nicholas,,
Smyth,Robert,,
Smyth,Thomas,,
Smyth,William,,
Sneyde,John,,
St Bettelin,,,
St Chad,,,
Stafford,Edward,12th Baron Stafford,
Stafford,Edward,13th Baron Stafford,
Stalker,John,,
Stamford,John,,
Stamford,Master,,
Stanforde,Mr,,
Stanforde,Mrs,,
Stanley,Henry,"13th earl of Derby, 12th Baron Strange (of Knokyn)",
Stanley,Edward,12th earl of Derby,
Stanley,William,15th earl of Derby,
Steventon,Roger,,
Stewart,Mary (Mary,Queen of Scots),
Stokes,John,,
Stonynge,Julian,,
Suncockes,Mr,,
Sutton,Edward,5th Baron Dudley,
Swepson,John,,
Swinnerton,Thomas,,
Swyndon,Joan,,
Swynfelde,Thomas,,
Tankes,Humphrey,,
Tarre,Humphrey,,
Tayler,Simon,,
Teddesley,John,,
Thorpe,Roger,,
Thurstones,William,,
Toke,William,,
Tomkys,Humphrey,,
Trentham,Mr,,
Trevett,Thomas,,
Tyas,John,,
Tyes,John,,
Tyxall,Godfrey,,
Tyxall,William,,
Underwood,John,,
Underwood,Thomas,,
Vernon,Sir William,,
Wade,Agnes,,
Wade,Richard,,
Wade,William,,
Wakering,John,,
Waldrens,Edward,,
Walelet,John,,
Walker,John,,
Walker,Richard,,
Walter,Edward,,
Walthoe,William,,
Wannerton,Mr,,
Ward,Richard,,
Watkyns,William,,
Watterton,Mr,,
Webbe,John,,
Wenceslas IV,king of Bohemia,king of the Romans,
Weston,Richard,esquire,
Wheeley,William,,
While,George,,
Whyte,Henry,,
Widder,Thomas,,
Wilding,Thomas,,
Willoughby,Sir Henry,,
Wilson,Arthur,,
Wilson,James,,
Wilson,John,,
Winckle,Stephen,,
Wistowe,Edward,,
Wistowe,Humfrey,,
Wistowe,John,,
Wodwall,Frances,,
Wolsley,John,,
Wood,Widow,,
Woodhouse,Nicholas,,
Worswick,Thomas,,
Worswicke,Thomas,,
Worswicke,William,,
Wright,Dorothy,,
Wright,Jane,,
Wright,Roger,,
Wright,Thomas,,
Wright,William,,
Wrottesley,Sir Hugh,,
Wrottesley,Walter,,
Wylkes,William,,
Yarborough,Sir John de,,
Ylseleye,Thomas,,
